date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-28 01:20:52,40.5 nAVAX,41.2 nAVAX,43.6 nAVAX,772 Txns,16 Txns,44.66%
2022-03-28 01:21:11,40.4 nAVAX,41.6 nAVAX,42.1 nAVAX,778 Txns,21 Txns,44.66%
2022-03-28 01:21:30,40.4 nAVAX,41 nAVAX,41.5 nAVAX,772 Txns,23 Txns,44.67%
2022-03-28 01:21:48,40.4 nAVAX,41 nAVAX,43 nAVAX,784 Txns,18 Txns,44.66%
2022-03-28 01:22:07,41.8 nAVAX,41.8 nAVAX,43.1 nAVAX,780 Txns,22 Txns,44.68%
2022-03-28 01:22:26,41 nAVAX,41.6 nAVAX,43.1 nAVAX,788 Txns,15 Txns,44.63%
2022-03-28 01:22:45,40 nAVAX,40.6 nAVAX,42.1 nAVAX,814 Txns,18 Txns,44.63%
2022-03-28 01:23:03,39.8 nAVAX,40.4 nAVAX,42.9 nAVAX,748 Txns,23 Txns,44.67%
2022-03-28 01:23:21,38.8 nAVAX,38.9 nAVAX,41.2 nAVAX,760 Txns,18 Txns,44.64%
2022-03-28 01:23:40,39.6 nAVAX,40.5 nAVAX,42.5 nAVAX,747 Txns,16 Txns,44.64%
2022-03-28 01:24:00,38.7 nAVAX,40.1 nAVAX,40.6 nAVAX,749 Txns,19 Txns,44.62%
2022-03-28 01:24:20,39.1 nAVAX,40.1 nAVAX,40.6 nAVAX,762 Txns,25 Txns,44.64%
2022-03-28 01:24:41,39.5 nAVAX,40.6 nAVAX,41.1 nAVAX,759 Txns,19 Txns,44.62%
2022-03-28 01:25:05,40.9 nAVAX,42.1 nAVAX,42.6 nAVAX,765 Txns,20 Txns,44.65%
2022-03-28 01:25:27,41.8 nAVAX,42 nAVAX,44.5 nAVAX,802 Txns,20 Txns,44.66%
2022-03-28 01:25:53,42.2 nAVAX,43 nAVAX,45.5 nAVAX,805 Txns,20 Txns,44.75%
2022-03-28 01:26:15,40.2 nAVAX,40.9 nAVAX,41.4 nAVAX,803 Txns,19 Txns,44.71%
2022-03-28 01:26:36,39 nAVAX,39.9 nAVAX,41.4 nAVAX,749 Txns,16 Txns,44.70%
2022-03-28 01:27:01,39.4 nAVAX,40.8 nAVAX,42.8 nAVAX,760 Txns,20 Txns,44.70%
